no_colname	no_colname	no_colname	no_colname	no_colname	no_colname
HOG1107.fa	WP_001049897.1	5.34e-15	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11088.fa	WP_016656232.1	8.22e-65	fig|470.5622.peg.8181|SAMEA104305299_03223|	Phenazine modifying protein PhzH / Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG1108.fa	WP_017393726.1	5.80e-21	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1109.fa	WP_001061609.1	8.47e-31	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1110.fa	WP_000926808.1	1.50e-31	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11128.fa	WP_004913493.1	7.33e-12	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1114.fa	WP_005213400.1	1.40e-27	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11159.fa	WP_032009301.1	0.009	fig|470.5054.peg.3267|BQ1898_01311|	T6SS component TssB (ImpB/VipA)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1115.fa	WP_005186038.1	4.53e-36	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1116.fa	WP_000380238.1	6.53e-30	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1117.fa	WP_017402688.1	8.33e-23	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11181.fa	WP_004939702.1	3.29e-08	fig|1333848.3.peg.2463|CFNIH1_12475|	Transcriptional regulator of acrAB operon, AcrR   [Citrobacter freundii CFNIH1 | 1333848.3]	PATRIC
HOG1118.fa	WP_001041371.1	6.54e-05	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11196.fa	WP_004960363.1	0.006	fig|470.6812.peg.4344|	Outer membrane protein A precursor   [Acinetobacter baumannii strain MRSN7170 | 470.6812]	VFDB
HOG1119.fa	WP_000568098.1	1.39e-12	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1120.fa	WP_000144734.1	4.55e-09	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1121.fa	WP_000774594.1	1.72e-07	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1122.fa	WP_045793459.1	1.33e-34	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1123.fa	WP_045793480.1	1.47e-30	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1124.fa	WP_004904960.1	4.70e-44	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1125.fa	WP_004898386.1	2.49e-30	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1126.fa	WP_000843079.1	1.22e-36	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1127.fa	WP_000366423.1	5.51e-37	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1128.fa	WP_000375416.1	2.94e-30	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1129.fa	WP_001163452.1	1.09e-36	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1130.fa	WP_001983985.1	6.59e-43	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1131.fa	WP_001230727.1	1.24e-31	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1132.fa	WP_045793091.1	2.40e-05	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1135.fa	WP_045793851.1	2.94e-05	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11378.fa	WP_080633053.1	3.41e-10	fig|470.9257.peg.1691|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG1137.fa	WP_000886383.1	1.15e-07	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1139.fa	WP_004784582.1	7.55e-07	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1145.fa	WP_092621282.1	4.99e-10	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1146.fa	WP_097077462.1	6.02e-28	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1148.fa	WP_097078831.1	9.65e-48	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1149.fa	WP_092615607.1	1.36e-30	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1150.fa	WP_097079875.1	4.03e-27	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1152.fa	WP_092614625.1	8.11e-32	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1153.fa	WP_087618736.1	0.005	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1155.fa	WP_070070342.1	4.17e-04	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11560.fa	WP_067766777.1	3.57e-20	fig|470.7268.peg.3010|	Enterobactin synthetase component F, serine activating enzyme (EC 2.7.7.-)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG11561.fa	WP_067555919.1	6.07e-08	fig|470.7268.peg.3000|	Isochorismatase (EC 3.3.2.1) [enterobactin] siderophore / Apo-aryl carrier domain of EntB @ Isochorismatase (EC 3.3.2.1) of siderophore biosynthesis   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1156.fa	WP_087619715.1	5.51e-16	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1157.fa	WP_097077437.1	1.98e-42	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1159.fa	WP_087620323.1	3.34e-32	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1161.fa	WP_087621240.1	1.95e-23	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1162.fa	WP_087621183.1	0.002	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1164.fa	WP_097079013.1	1.37e-05	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11651.fa	WP_005029853.1	1.92e-16	fig|470.5622.peg.4607|SAMEA104305299_06800|	Pyridoxamine 5'-phosphate oxidase PhzG (EC 1.4.3.5)   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG1165.fa	WP_087621743.1	0.002	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11664.fa	WP_005030949.1	5.72e-50	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11667.fa	WP_023187992.1	0.002	fig|470.5622.peg.4607|SAMEA104305299_06800|	Pyridoxamine 5'-phosphate oxidase PhzG (EC 1.4.3.5)   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG1168.fa	WP_000090021.1	6.22e-10	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG1169.fa	WP_000194049.1	6.44e-05	fig|470.10130.peg.7338|	Iron siderophore ABC transporter, permease/ATP-binding protein YbtP   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG11763.fa	WP_005047009.1	3.99e-05	fig|470.6998.peg.454|	Capsular polysaccharide synthesis enzyme Cap8N   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG1179.fa	WP_002027522.1	3.05e-08	fig|1224150.8.peg.1130|	Transcriptional regulator of acrAB operon, AcrR   [Dickeya paradisiaca NCPPB 2511 | 1224150.8]	PATRIC
